Response_ID,Group_ID,Group,Statement,Optimist,Hopeful,Curious,Neutral,Cautious,Skeptical,Pessimist,Op_hop,Op_cur,Op_cau,Op_skep,Op_pess,Hop_cur,Hop_neu,Hop_cau,Hop_skep,Hop_pess,Cur_neu,Cur_cau,Cur_skep,Cur_pess,Cau_neu,Cau_skep,Cau_pess,Skep_neu,Skep_pess,Op_cur_cau,Hop_cur_cau,Hop_cau_skep,Cau_skep_neu,PA,Pos_emotion,NA,Neg_emotion,HomeOwner,Involvement,Choice,INNOV,RET,ENV,SUM_INN_RET_ENV,Age,Gender,Education,Income,Occupants,HomeType,Region,Region_recoded,Area,SubjKnow,Know_recoded,BoilerWilling,HobWilling,H2homeWilling,Composite_adoption,H2futures,H2community,H2home,Composite_acceptance,Response
R1,BLG1,1,A type of gas I don’t trust because I don’t know much about.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,3,3,3,9,1,1,1,6,3,1,6,4,4,2,2,1,1,2,1.33,4,2,5,3.67,2
R2,BLG2,1,Affordability when times are tough.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,3,1,2,2,3,7,1,2,1,3,1,4,11,4,3,2,2,2,3,3,2.67,7,7,6,6.67,3
R3,BLG3,1,After learning about hydrogen hobs or boilers my attitude has grown and willingness to try it as well.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,1,1,3,2,3,8,2,1,5,6,3,2,8,3,4,2,2,2,2,2,2,9,8,9,8.67,5
R4,BLG4,1,Agree with further research and development of hydrogen as an alternate.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,1,1,3,3,3,9,1,2,3,2,2,2,11,4,5,2,2,3,3,3,3,8,5,6,6.33,4
R5,BLG5,1,"All costs to be funded by windfall tax on energy companies, not customers.",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,3,2,3,3,2,8,2,1,3,8,2,4,5,4,3,3,3,4,4,4,4,10,10,10,10,7
R6,BLG6,1,All modern and better for the environment.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,3,3,3,3,3,9,3,2,1,4,2,5,8,3,3,2,2,2,2,2,2,7,5,8,6.67,2
R7,BLG7,1,"Although I feel hydrogen would be one of the answers to the net zero 2030, it would prove too expensive to run and cause more poverty for families for their heating and cooking.",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,2,1,3,2,3,8,3,2,1,2,3,1,3,2,3,1,1,3,3,3,3,8,7,7,7.33,4
R8,BLG8,1,Am not interested about this.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,2,2,1,0,0,1,2,2,1,7,3,4,6,4,3,1,1,1,1,1,1,0,0,0,0,4
R9,BLG9,1,Ambivalent; it seems like a great idea as long as the cost to individuals is not prohibitive.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,3,3,3,2,3,8,3,2,5,5,2,4,6,4,3,1,1,3,3,3,3,9,9,9,9,6
R10,BLG10,1,An interesting option in the future.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,1,1,2,2,3,7,2,2,5,2,3,4,11,4,5,2,2,3,3,4,3.33,7,7,8,7.33,1
R11,BLG11,1,Another unproven technology being rushed through at vast expense just to go green.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,3,3,2,3,1,6,3,1,5,4,1,4,2,2,5,2,2,1,1,1,1,3,0,0,1,6
R12,BLG12,1,Anything that helps.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,3,2,2,3,3,8,3,2,1,3,2,1,11,4,3,1,1,3,2,3,2.67,9,9,9,9,7
R13,BLG13,1,Anything to reduce our reliance on natural gas can only be good.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,3,2,3,3,3,9,2,1,1,3,1,1,8,3,3,1,1,2,2,2,2,6,6,7,6.33,2
